mode,sample,launches_per_event_interval,first,fe2o3_us,hipblaslt_us
synchronized_latency,119,1,hipblaslt,6.4,8
synchronized_latency,120,1,fe2o3,6.44,7.92
synchronized_latency,121,1,hipblaslt,6.4,7.72
synchronized_latency,122,1,fe2o3,6.52,7.76
synchronized_latency,123,1,hipblaslt,6.44,7.92
synchronized_latency,124,1,fe2o3,6.52,8
synchronized_latency,125,1,hipblaslt,6.72,7.76
synchronized_latency,126,1,fe2o3,6.64,7.88
synchronized_latency,127,1,hipblaslt,6.4,7.8
synchronized_latency,128,1,fe2o3,6.48,7.96
synchronized_latency,129,1,hipblaslt,6.44,7.84
synchronized_latency,130,1,fe2o3,6.4,7.8
synchronized_latency,131,1,hipblaslt,6.52,7.88
synchronized_latency,132,1,fe2o3,6.56,7.88
synchronized_latency,133,1,hipblaslt,6.44,7.8
synchronized_latency,134,1,fe2o3,6.52,7.92
synchronized_latency,135,1,hipblaslt,6.4,7.88
synchronized_latency,136,1,fe2o3,6.44,8.04
synchronized_latency,137,1,hipblaslt,6.44,7.88
synchronized_latency,138,1,fe2o3,6.96,7.84
synchronized_latency,139,1,hipblaslt,6.52,7.76
synchronized_latency,140,1,fe2o3,6.6,7.88
synchronized_latency,141,1,hipblaslt,10.32,7.96
synchronized_latency,142,1,fe2o3,6.48,7.84
synchronized_latency,143,1,hipblaslt,6.56,8.52
synchronized_latency,144,1,fe2o3,6.44,8.04
synchronized_latency,145,1,hipblaslt,6.44,8.721
synchronized_latency,146,1,fe2o3,6.52,7.88
synchronized_latency,147,1,hipblaslt,6.6,7.84
synchronized_latency,148,1,fe2o3,6.92,7.96
synchronized_latency,149,1,hipblaslt,6.56,7.88
synchronized_latency,150,1,fe2o3,6.48,8.28
synchronized_latency,151,1,hipblaslt,6.52,7.96
synchronized_latency,152,1,fe2o3,6.48,8.12
synchronized_latency,153,1,hipblaslt,6.4,7.88
synchronized_latency,154,1,fe2o3,6.52,7.92
synchronized_latency,155,1,hipblaslt,6.52,7.8
synchronized_latency,156,1,fe2o3,6.56,7.96
synchronized_latency,157,1,hipblaslt,6.52,7.96
synchronized_latency,158,1,fe2o3,6.52,8.04
synchronized_latency,159,1,hipblaslt,6.4,8.08
synchronized_latency,160,1,fe2o3,6.4,7.92
synchronized_latency,161,1,hipblaslt,6.52,7.84
synchronized_latency,162,1,fe2o3,6.52,7.92
synchronized_latency,163,1,hipblaslt,6.48,7.8
synchronized_latency,164,1,fe2o3,6.48,7.84
synchronized_latency,165,1,hipblaslt,6.52,7.68
synchronized_latency,166,1,fe2o3,6.48,13.2
synchronized_latency,167,1,hipblaslt,7.48,7.88
synchronized_latency,168,1,fe2o3,6.44,12.68
synchronized_latency,169,1,hipblaslt,7.4,18.32
synchronized_latency,170,1,fe2o3,15,16
synchronized_latency,171,1,hipblaslt,7.32,15.4
synchronized_latency,172,1,fe2o3,7.44,18.64
synchronized_latency,173,1,hipblaslt,10.56,13.96
synchronized_latency,174,1,fe2o3,7.68,11.32
